Epoch,Train_Accuracy,Train_Loss,Val_Accuracy,Val_Loss
1,0.83,0.576,0.997,0.313
2,0.983,0.348,0.993,0.317
3,0.983,0.338,0.997,0.314
4,0.998,0.306,1.0,0.295
5,1.0,0.299,1.0,0.296
6,1.0,0.297,1.0,0.294
7,1.0,0.296,1.0,0.294
8,0.999,0.297,1.0,0.295
9,1.0,0.298,1.0,0.294
10,1.0,0.297,0.976,0.347
11,1.0,0.296,0.99,0.305
12,1.0,0.296,1.0,0.297
13,1.0,0.295,0.99,0.308
14,1.0,0.294,1.0,0.294
15,1.0,0.295,0.997,0.299
16,1.0,0.296,1.0,0.292
17,1.0,0.295,1.0,0.293
18,1.0,0.295,1.0,0.292
19,1.0,0.294,1.0,0.292
20,0.999,0.297,1.0,0.293
