Epoch,Accurascy,Train_Acc,Train_Loss,Val_Acc,Val_Loss
1,,0.778,0.56,47.569,3.644
2,,0.444,1.598,69.444,0.878
3,,0.556,1.011,95.139,0.56
4,,0.667,0.905,64.931,0.729
5,,0.556,0.798,86.111,0.541
6,,0.889,0.445,81.597,0.639
7,,0.778,0.54,95.139,0.412
8,,0.667,0.971,90.278,0.446
9,,0.778,0.541,96.181,0.347
10,,0.889,0.476,97.917,0.344
11,,0.778,0.683,98.264,0.357
12,,0.889,0.438,97.222,0.324
13,,0.889,0.881,100.0,0.301
14,,0.889,0.409,81.944,0.535
15,,0.667,0.787,98.958,0.339
16,,1.0,0.361,98.958,0.385
17,,0.889,0.479,100.0,0.308
18,,1.0,0.388,99.306,0.307
19,,1.0,0.422,99.653,0.303
20,,0.778,0.488,99.653,0.299
21,,0.889,0.417,100.0,0.297
22,,1.0,0.405,100.0,0.297
23,,0.889,0.422,99.653,0.301
24,,0.889,0.589,100.0,0.299
25,,0.889,0.46,100.0,0.298
26,,1.0,0.404,100.0,0.298
27,,1.0,0.314,100.0,0.299
28,,1.0,0.356,100.0,0.298
29,,0.667,0.822,100.0,0.299
30,,0.889,0.487,100.0,0.299
31,,0.889,0.392,99.653,0.299
32,,1.0,0.33,100.0,0.298
33,,1.0,0.447,100.0,0.298
34,,0.889,0.433,99.653,0.298
35,,1.0,0.349,100.0,0.299
36,,0.889,0.41,100.0,0.298
37,,0.667,1.007,100.0,0.296
38,,1.0,0.303,100.0,0.298
39,,1.0,0.341,100.0,0.298
40,,1.0,0.382,100.0,0.298
41,,0.889,0.529,100.0,0.298
42,,0.889,0.469,100.0,0.299
43,,1.0,0.365,99.653,0.3
44,,1.0,0.305,99.653,0.299
45,,0.778,0.628,100.0,0.3
46,,0.778,0.722,100.0,0.297
47,,0.778,0.752,100.0,0.297
48,,0.889,0.427,100.0,0.298
49,,1.0,0.355,100.0,0.298
50,,1.0,0.308,100.0,0.299
